source_id,verified,year,scope,metric,value,unit,yoy_change_pct,notes
LEG2_IFR_WORLD_ROBOTICS,true,2023,Global,operational_stock,4281585,units,10.0,"+10% YoY. IFR World Robotics 2024 report headline figure."
LEG2_IFR_WORLD_ROBOTICS,true,2023,Global,annual_installations,541302,units,,"Second highest in history. Third consecutive year over 500K."
LEG2_IFR_WORLD_ROBOTICS,true,2023,Asia,share_of_global_installs,70,percent,,"70% of new robots installed in Asia in 2023."
LEG2_IFR_WORLD_ROBOTICS,true,2023,Europe,share_of_global_installs,17,percent,,"17% of new robots installed in Europe in 2023."
LEG2_IFR_WORLD_ROBOTICS,true,2023,Americas,share_of_global_installs,10,percent,,"10% of new robots installed in Americas in 2023."
LEG2_IFR_WORLD_ROBOTICS,true,2023,China,operational_stock,1800000,units,,"Approximately. First and only country at this scale."
LEG2_IFR_WORLD_ROBOTICS,true,2023,China,domestic_supplier_share,47,percent,,"Share of Chinese manufacturers in domestic installations in 2023."
LEG2_IFR_WORLD_ROBOTICS,true,2023,Japan,annual_installations,46106,units,-9.0,"Second largest global market; -9% YoY."
LEG2_IFR_WORLD_ROBOTICS,true,2023,Germany,annual_installations,28355,units,7.0,"Largest European market; only European in global Top 5."
LEG2_IFR_WORLD_ROBOTICS,true,2023,India,annual_installations,8510,units,59.0,"New record high."
LEG2_IFR_WORLD_ROBOTICS,true,2024,China,annual_installations,295000,units,,"Approximate. 54% of 2024 global installs deployed in China."
LEG2_IFR_WORLD_ROBOTICS,true,2024,China,share_of_global_installs,54,percent,,"From IFR May 2026 press release citing World Robotics 2025 report."
LEG2_IFR_WORLD_ROBOTICS,true,2024,China,operational_stock,2000000,units,,"~2M units, approximately 4.5x Japan's stock."
LEG2_IFR_WORLD_ROBOTICS,true,2024,China,domestic_supplier_share_industrial,57,percent,,"Up from 30% in 2020 to 57% in 2024 (general industrial robots)."
LEG2_IFR_WORLD_ROBOTICS,true,2024,China,domestic_supplier_share_electronics,59,percent,,"Chinese manufacturers supply 59% of electronics industry robots."
LEG2_IFR_WORLD_ROBOTICS,true,2024,China,domestic_supplier_share_metal_machinery,85,percent,,"Domestic supplier market share in metal & machinery."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Western_Europe,robot_density_per_10k,267,units,3.0,"Record. +3% YoY."
LEG2_IFR_WORLD_ROBOTICS,true,2024,North_America,robot_density_per_10k,204,units,4.0,"+4% YoY."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Asia,robot_density_per_10k,131,units,11.0,"+11% YoY — highest growth rate."
LEG2_IFR_WORLD_ROBOTICS,true,2024,EU-27,robot_density_per_10k,231,units,,"European Union 27 countries."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Global,robot_density_per_10k,132,units,,"Global average."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Korea,robot_density_per_10k,1220,units,,"Rank #1 globally. 7% annual growth since 2019."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Singapore,robot_density_per_10k,818,units,,"Rank #2 globally. 13% annual growth since 2019."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Germany,robot_density_per_10k,449,units,,"Rank #3. 5% annual growth since 2019."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Japan,robot_density_per_10k,446,units,,"Rank #4. 5% annual growth since 2019."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Sweden,robot_density_per_10k,377,units,,"Rank #5."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Denmark,robot_density_per_10k,329,units,,"Rank #6."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Slovenia,robot_density_per_10k,315,units,,"Rank #7."
LEG2_IFR_WORLD_ROBOTICS,true,2024,United_States,robot_density_per_10k,307,units,,"Rank #8."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Chinese_Taipei,robot_density_per_10k,302,units,,"Rank #9."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Switzerland,robot_density_per_10k,294,units,,"Rank #10."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Canada,robot_density_per_10k,241,units,,"Mid-tier."
LEG2_IFR_WORLD_ROBOTICS,true,2024,China,robot_density_per_10k,166,units,17.0,"Rank 22 globally, 6th in Asia. Volume leader but NOT density leader. +17% YoY — highest growth among major countries."
LEG2_IFR_WORLD_ROBOTICS,true,2024,Mexico,robot_density_per_10k,62,units,,"Low-density manufacturing economy."
