source_id,verified,category,subcategory,price_change_pct_2000_2024,notes
LEG3_BLS_CPI,true,Healthcare,Hospital_services,250,"Largest gain in BLS CPI components 2000-2024 per Mark Perry Chart of the Century. Rank #1 increase. Exact value verify against BLS primary at chart-production."
LEG3_BLS_CPI,false,Education,College_tuition_and_fees,180,"Approximate per Mark Perry chart. Continues to rise but at slower pace recently."
LEG3_BLS_CPI,false,Education,College_textbooks,150,"Approximate per Mark Perry chart."
LEG3_BLS_CPI,false,Education,Childcare_and_nursery_school,110,"Approximate per Mark Perry chart."
LEG3_BLS_CPI,false,Healthcare,Medical_care_services,120,"Approximate per Mark Perry chart."
LEG3_BLS_CPI,false,Housing,Shelter_housing,90,"Approximate per Mark Perry chart. Major component of CPI."
LEG3_BLS_CPI,true,Aggregate,All_items_CPI,87.3,"Confirmed per Mark Perry chart 2000-Jun 2024."
LEG3_BLS_CPI,true,Wages,Average_hourly_earnings,123.3,"Confirmed per Mark Perry chart. Wages grew faster than CPI."
LEG3_BLS_CPI,false,Food,Food_and_beverages,90,"Approximate per Mark Perry chart."
LEG3_BLS_CPI,false,Energy,Energy,70,"Approximate."
LEG3_BLS_CPI,false,Clothing,New_cars,30,"Approximate."
LEG3_BLS_CPI,false,Clothing,Clothing,-10,"Approximate decline since 2000."
LEG3_BLS_CPI,true,Communications,Cell_phone_service,-52,"Per Mark Perry chart."
LEG3_BLS_CPI,true,Software,Software,-67,"Per Mark Perry chart."
LEG3_BLS_CPI,true,Entertainment,Toys,-74,"Per Mark Perry chart."
LEG3_BLS_CPI,true,Electronics,TVs,-97,"Largest decline per Mark Perry chart. Rank #1 decline."
