source_id,verified,Publication date,Model,Organization,Country (of organization),Domain,Parameters,Training compute (FLOP),Training compute cost (2023 USD),Confidence,Frontier model,Open model weights?,Notability criteria
LEG1_EPOCH_NOTABLE_2024,true,2017-07-10,JFT,"Google Research,Carnegie Mellon University (CMU)","United States of America,United States of America",Vision,44654504.0,8.43e+20,17910.759507843868,Confident,True,,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2017-08-11,OpenAI TI7 DOTA 1v1,OpenAI,United States of America,Games,,6.046095222592002e+20,,Confident,True,,"Historical significance,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2017-10-18,AlphaGo Zero,DeepMind,United Kingdom of Great Britain and Northern Ireland,Games,46400244.0,6.49439910290227e+20,1213.8707315707268,Confident,True,No,Highly cited
LEG1_EPOCH_NOTABLE_2024,true,2018-05-02,ResNeXt-101 32x48d,Facebook,United States of America,Vision,829000000.0,8.74395e+21,134077.42688552555,Confident,True,Yes,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2019-06-01,XLNet,"Carnegie Mellon University (CMU),Google Brain","United States of America,United States of America",Language,340000000.0,6.19e+21,13644.959135438661,Confident,True,Yes,Highly cited
LEG1_EPOCH_NOTABLE_2024,true,2019-07-01,RoBERTa Large,"Facebook,University of Washington","United States of America,United States of America",Language,355000000.0,8.5067e+21,85350.2350127364,Confident,True,Yes,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2019-09-17,Megatron-LM (8.3B),NVIDIA,United States of America,Language,8300000000.0,9.1e+21,109287.55758939347,Likely,True,No,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2019-09-17,Megatron-BERT,NVIDIA,United States of America,Language,3900000000.0,2.2e+22,171818.64196707975,Confident,True,No,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2019-10-23,T5-11B,Google,United States of America,Language,11000000000.0,3.3e+22,78464.68282814459,Confident,True,Yes,Highly cited
LEG1_EPOCH_NOTABLE_2024,true,2019-10-23,T5-3B,Google,United States of America,Language,2800000000.0,9.0000000001e+21,17420.709393371122,Confident,True,Yes,Highly cited
LEG1_EPOCH_NOTABLE_2024,true,2019-10-30,AlphaStar,DeepMind,United Kingdom of Great Britain and Northern Ireland,Games,139000000.0,1.0773400001e+23,130654.07330431018,Confident,True,No,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2019-11-05,XLM-RoBERTa,Facebook AI,United States of America,Language,550000000.0,2.076e+22,77861.31819548723,Confident,True,Yes,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2019-11-11,Noisy Student (L2),"Carnegie Mellon University (CMU),Google","United States of America,United States of America",Vision,480000000.0,2.612e+22,45609.73119622589,Confident,True,No,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2019-12-13,OpenAI Five,OpenAI,United States of America,Games,159000000.0,6.7e+22,4328311.470477086,Confident,True,No,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2020-01-28,Meena,Google Brain,United States of America,Language,2600000000.0,1.12e+23,214809.91213508433,Confident,True,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2020-05-28,GPT-3 175B (davinci),OpenAI,United States of America,Language,174600000000.0,3.14e+23,2116866.2428390156,Confident,True,No,"Highly cited,Training cost"
LEG1_EPOCH_NOTABLE_2024,true,2020-06-30,GShard (dense),Google,United States of America,Language,2300000000.0,4.765e+22,266200.0315979732,Confident,True,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2020-10-20,mT5-XXL,"Google,Google Research","United States of America,United States of America",Language,13000000000.0,8.2e+22,179442.0291399545,Confident,True,Yes,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2021-01-11,Switch,Google,United States of America,Language,1571000000000.0,8.22e+22,145100.89767585773,Confident,True,Yes,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2021-08-11,Jurassic-1-Jumbo,AI21 Labs,Israel,Language,178000000000.0,3.7e+23,836700.050829598,Confident,True,No,Training cost
LEG1_EPOCH_NOTABLE_2024,true,2021-09-03,FLAN 137B,Google Research,United States of America,Language,137000000000.0,2.047e+24,,Confident,True,No,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2021-09-10,HyperCLOVA 204B,NAVER,Korea (Republic of),Language,204000000000.0,2.0000000001e+23,441770.0038182093,Speculative,True,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2021-10-11,Megatron-Turing NLG 530B,"Microsoft,NVIDIA","United States of America,United States of America",Language,530000000000.0,8.586e+23,3848505.6256471733,Confident,True,No,"SOTA improvement,Training cost"
LEG1_EPOCH_NOTABLE_2024,true,2021-10-12,Yuan 1.0,Inspur,China,Language,245730000000.0,3.5380000000001e+23,591664.5798708292,Confident,True,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2021-12-08,Gopher (280B),DeepMind,United Kingdom of Great Britain and Northern Ireland,Language,280000000000.0,6.31e+23,640616.8522346151,Confident,True,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2021-12-13,GLaM,Google,United States of America,Language,1200000000000.0,3.6363112434e+23,541437.4162400038,Confident,,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2021-12-23,ERNIE 3.0 Titan,"Baidu,Peng Cheng Laboratory","China,China",Language,260000000000.0,1.0421e+24,,Confident,True,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2022-01-27,InstructGPT 175B,OpenAI,United States of America,Language,175000000000.0,3.19181e+23,,Confident,,No,"Historical significance,Highly cited"
LEG1_EPOCH_NOTABLE_2024,true,2022-02-02,AlphaCode,DeepMind,United Kingdom of Great Britain and Northern Ireland,Language,41100000000.0,2.38010000000001e+23,,Confident,,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2022-02-10,LaMDA,Google,United States of America,Language,137000000000.0,3.55e+23,229949.98625999544,Confident,,No,Historical significance
LEG1_EPOCH_NOTABLE_2024,true,2022-02-17,ST-MoE,"Google,Google Brain,Google Research","United States of America,United States of America,United States of America",Language,269000000000.0,2.9e+23,,Likely,,No,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2022-03-15,"GPT-3.5 (davinci-002)
",OpenAI,United States of America,Language,,2.578e+24,4897551.634095244,Speculative,True,No,"Historical significance,Significant use,SOTA improvement,Training cost"
LEG1_EPOCH_NOTABLE_2024,true,2022-03-29,Chinchilla,DeepMind,United Kingdom of Great Britain and Northern Ireland,Language,70000000000.0,5.76e+23,,Confident,,No,"SOTA improvement,Historical significance"
LEG1_EPOCH_NOTABLE_2024,true,2022-04-04,PaLM (540B),Google Research,United States of America,Language,540350000000.0,2.5272e+24,3060364.5969860666,Confident,True,No,"Highly cited,SOTA improvement,Training cost"
LEG1_EPOCH_NOTABLE_2024,true,2022-04-06,DALL·E 2,OpenAI,United States of America,Image generation,3500000000.0,3.3695784e+23,,Speculative,,No,"Highly cited,SOTA improvement"
LEG1_EPOCH_NOTABLE_2024,true,2022-04-29,Flamingo,DeepMind,United Kingdom of Great Britain and Northern Ireland,"Multimodal,Vision,Language,Video",80000000000.0,2.18972000000001e+23,183423.16330597224,Confident,,No,"SOTA improvement,Discretionary"
LEG1_EPOCH_NOTABLE_2024,true,2022-05-02,OPT-175B,Meta AI,United States of America,Language,175000000000.0,4.3e+23,733634.637,Confident,,Yes,"Significant use,Highly cited"
