source_id,verified,company,country,year,actual_or_target,units,facility,notes
LEG3_MFG_CAPACITY,false,Tesla,United_States,2025,target,5000,unspecified,"Earlier Tesla guidance — verify against later updates."
LEG3_MFG_CAPACITY,false,Tesla,United_States,2026,target,100000,Fremont,"Production starts late Jul/Aug 2026. CAUTION: Musk DECLINED to confirm 2026 production target in Q1 2026 earnings call — figure widely repeated but contradicted by company guidance."
LEG3_MFG_CAPACITY,false,Tesla,United_States,2027+,long_term_target,1000000,Giga_Texas_+_Fremont,"Per company long-term capacity guidance. Second factory Giga Texas summer 2027. Long-term annual capacity target."
LEG3_MFG_CAPACITY,false,BYD,China,2025,target,1500,unspecified,"Per industry reporting."
LEG3_MFG_CAPACITY,false,BYD,China,2026,target,20000,unspecified,"Per industry reporting."
LEG3_MFG_CAPACITY,false,Unitree,China,2025,shipped,5500,unspecified,"5500+ units in 2025. Commodity humanoid leader at $13.5K price point."
LEG3_MFG_CAPACITY,false,Unitree,China,2026,target,15000,unspecified,"Range 10K-20K target — midpoint 15K."
LEG3_MFG_CAPACITY,false,Figure_AI,United_States,2026,target,12000,BotQ,"BotQ factory designed for 12K/yr. Currently deploying at BMW X3 production line (30K BMW X3 vehicles produced with humanoid assistance over 10 months)."
LEG3_MFG_CAPACITY,false,Xiaomi,China,2025-2027,target_range,30000,unspecified,"Deployment plans range from hundreds to tens of thousands between 2025-2027. Midpoint estimate."
LEG3_MFG_CAPACITY,false,XPeng,China,2026,target_mass_production,,IRON,"Mass production commitment by end 2026 for IRON humanoid. Specific unit target not disclosed."
LEG3_BOFA_FORECAST,false,All_humanoid,Global,2026,forecast_shipments,90000,,"Bank of America Research forecast."
LEG3_BOFA_FORECAST,false,All_humanoid,Global,2030,forecast_shipments,1200000,,"Bank of America Research forecast. Steep ramp implied 2026-2030."
LEG3_BOFA_FORECAST,false,All_humanoid,Global,2060,forecast_stock,3000000000,,"BofA long-term stock forecast — 3 billion humanoid robots globally by 2060 (surpassing cars per capita). Treat as forecast not data."
LEG3_HUMANOID_MARKET,false,China,Global,2025,market_share_pct,90,,"Approximately 90% of all humanoid robots sold globally in 2025 were Chinese-manufactured."
