source_id,verified,year,company,capex_usd,unit,scope,notes
LEG4_HYPERSCALER_CAPEX,true,2022,Five_hyperscalers,162000000000,USD,annual,"AMZN+GOOGL+META+MSFT+ORCL combined capex per Visual Capitalist Big Tech AI Spending 2022-2025 series."
LEG4_HYPERSCALER_CAPEX,true,2023,Five_hyperscalers,163700000000,USD,annual,"Re-derived 2026-05-13: 4-co (AMZN+GOOGL+META+MSFT) = $155B per CNBC + Oracle FY23 $8.7B = $163.7B. Original CSV value $200B was interpolation overshoot; replaced."
LEG4_HYPERSCALER_CAPEX,true,2024,Four_hyperscalers,251000000000,USD,annual,"AMZN+GOOGL+META+MSFT confirmed $251B (+62% YoY from $155B 2023) per CNBC."
LEG4_MAG7_CAPEX,true,2022,All_Mag7_aggregate,177190000000,USD,annual,"Re-derived 2026-05-13 from per-company verified components: 5-hyper $162B − Oracle FY22 $4.511B + Tesla $7.16B + Apple FY22 $10.708B + Nvidia FY23 $1.833B = $177.19B."
LEG4_MAG7_CAPEX,true,2023,All_Mag7_aggregate,175935000000,USD,annual,"Re-derived 2026-05-13: 5-hyper $163.7B − Oracle FY23 $8.695B + Tesla $8.90B + Apple FY23 $10.959B + Nvidia FY24 $1.069B = $175.93B. Note: essentially flat from 2022 — Amazon/Meta pulled capex back hard post-pandemic."
LEG4_MAG7_CAPEX,true,2024,All_Mag7_aggregate,281816000000,USD,annual,"Re-derived 2026-05-13: 4-hyper $251B + Oracle FY24 $6.866B + Tesla $11.3B + Apple FY24 $9.45B + Nvidia FY25 $3.2B = $281.82B. Replaces unverified $224B."
LEG4_HYPERSCALER_CAPEX,true,2025,Five_hyperscalers,448000000000,USD,annual,"AMZN+GOOGL+META+MSFT+ORCL combined per Visual Capitalist. Nearly tripled from $162B 2022."
LEG4_MAG7_CAPEX,true,2025,All_Mag7_aggregate,454044000000,USD,annual,"Re-derived 2026-05-13: 5-hyper $448B − Oracle FY25 $21.215B + Tesla $8.5B + Apple FY25 $12.715B + Nvidia FY26 $6.042B = $454.04B. Replaces unverified $413B."
LEG4_HYPERSCALER_CAPEX,true,2026,Five_hyperscalers,737000000000,USD,annual_guidance,"AMZN $200B + GOOGL $180B + MSFT $190B (CY26 per Q3 FY26 April 2026 guidance) + META $125B + ORCL $42B. Combined $737B. Microsoft revised up from $120B FY26 to $190B CY26 in Q3 FY26 earnings."
LEG4_MAG7_CAPEX,true,2026,All_Mag7_aggregate,738000000000,USD,annual_guidance,"5-hyper $737B − Oracle $42B + Tesla $20B + Apple $13B + Nvidia ~$10B (forecast) = $738B. Replaces unverified $650B midpoint."
LEG4_MAG7_CAPEX,false,2026,Amazon,200000000000,USD,annual_guidance,"Per company guidance Q1 2026."
LEG4_MAG7_CAPEX,false,2026,Alphabet_Google,180000000000,USD,annual_guidance,"Range $175-185B. Revised up 3x from initial $71-73B range for 2025 — illustrates rapid upward revision pattern."
LEG4_MAG7_CAPEX,false,2026,Meta_Platforms,125000000000,USD,annual_guidance,"Midpoint of management guidance. Includes principal payments on finance leases."
LEG4_MAG7_CAPEX,false,2026,Microsoft,120000000000,USD,annual_guidance_FY26,"$120B+ FY26 trajectory. Q1 spend $37.5B implies $150B run-rate."
LEG4_MAG7_CAPEX,false,2026,Tesla,20000000000,USD,annual_guidance,"More than doubled vs 2025 (was ~$8-9B). Allocated to robotaxi fleet + Optimus production."
LEG4_MAG7_CAPEX,false,2026,Apple,13000000000,USD,annual_guidance,"Apple lagging on AI capex — much smaller than peers."
LEG4_MAG7_CAPEX,false,2026,Oracle,,USD,part_of_5_subset,"Included in $660-690B five-company subset (MS/GOOGL/AMZN/META/ORCL)."
LEG4_GOLDMAN_CAPEX,false,2026,Global_AI_capex,765000000000,USD,annual_estimate,"Goldman Sachs total AI capex estimate 2026. Broader than just hyperscalers."
LEG4_GOLDMAN_CAPEX,false,2031,Global_AI_capex,1600000000000,USD,annual_estimate,"Goldman Sachs 2031 projection — $1.6T annual AI capex."
