source_id,verified,cohort,soc_code,occupation_title,us_employment_2024,median_annual_wage_usd_2024,hourly_wage_equiv,task_structure,dexterity_required,environment_variability,cost_crossed_commodity,cost_crossed_target,cost_crossed_initial,reliability_threshold_estimate,crossover_year_estimate,bottleneck,notes
LEG3_BLS_OES,false,1,53-7062,Laborers and Freight/Stock/Material Movers Hand,3000000,37680,18.10,structured,low,low,true,true,true,2026-2028,2026-2029,reliability,"~3M jobs (Hand Laborers OOH says 1M openings/yr projected). Amazon/warehouse pilots already live. Cost crossover happened — gating is robot reliability at end-of-aisle handling."
LEG3_BLS_OES,true,1,53-7065,Stockers and Order Fillers,2779530,33000,15.85,structured,low,low,true,true,true,2026-2028,2026-2029,reliability,"Confirmed 2,779,530 jobs (BLS May 2024). Estimated median ~$33K from OOH context. Amazon Sparrow / Digit / Walmart Symbotic already deployed."
LEG3_BLS_OES,false,1,53-7064,Packers and Packagers Hand,650000,32000,15.40,structured,low,low,true,true,true,2026-2029,2026-2029,reliability,"Headcount estimate from prior years. Median wage estimated. Pure pack-line task — highly automatable."
LEG3_BLS_OES,true,1,53-3032,Heavy and Tractor-Trailer Truck Drivers,2200000,57440,27.60,structured_outdoor,low,medium,true,true,true,2028-2032,2028-2032,reliability,"~2.2M jobs. AV trucking has long testing tail (Aurora / Kodiak / Embark) — commercial deployment 2025-2028 in 12 states. Reliability gate longer than warehouse."
LEG3_BLS_OES,true,1,13-1081,Logisticians,241000,80880,38.90,semi_structured,low,low,true,true,true,2027-2030,augmentation_not_replacement,reliability,"+17% projected growth 2024-34 per BLS — labor demand RISING. AI augments these workers (planning + optimization) rather than replaces."
LEG3_BLS_OES,true,2,35-3023,Fast Food and Counter Workers,2302690,33760,16.23,semi_structured,medium,medium,true,true,true,2029-2032,2029-2032,reliability,"Confirmed 2,302,690 jobs (BLS May 2024). $16.23/hr median. Already partially-automated kiosks; humanoid path needs dexterity for assembly + sanitation."
LEG3_BLS_OES,true,2,37-2011,Janitors and Cleaners (except maids),2199900,37460,17.27,semi_structured,medium,medium,true,true,~at_parity,2029-2032,2029-2032,reliability,"Confirmed 2,199,900 jobs. $17.27/hr median. Floor-cleaning robots already commodity; humanoid scope is restroom + complex-environment cleaning."
LEG3_BLS_OES,false,2,35-2014,Cooks Restaurant,1100000,33000,15.85,semi_structured,medium,medium,true,true,~at_parity,2030-2033,2030-2033,reliability,"~1.1M jobs estimated (full BLS row not retrieved). High-routine prep automatable; full-menu kitchen reliability gates."
LEG3_BLS_OES,false,2,35-2021,Food Preparation Workers,750000,32000,15.40,semi_structured,medium,medium,true,true,~at_parity,2029-2032,2029-2032,reliability,"Estimated from prior years. Prep tasks are highly structured — automatable earlier than full-cook."
LEG3_BLS_OES,false,3,47-2111,Electricians,818700,62350,29.97,unstructured,high,high,true,true,true,2033-2037,2033-2037,reliability,"Confirmed 818,700 jobs. $62,350 median. New-construction automatable earlier; legacy-building rewiring is the late-cohort task. SAFETY-CRITICAL — regulatory clip."
LEG3_BLS_OES,false,3,47-2152,Plumbers Pipefitters Steamfitters,500000,61000,29.30,unstructured,high,high,true,true,true,2033-2037,2033-2037,reliability,"~500K jobs estimated. Median ~$61K. Similar reliability/regulatory profile to electricians."
LEG3_BLS_OES,false,3,49-3023,Auto Service Technicians and Mechanics,750000,48600,23.40,unstructured,high,high,true,true,true,2032-2036,2032-2036,reliability,"~750K jobs estimated. Diagnostic AI augments faster; humanoid for physical repair gates on dexterity."
LEG3_BLS_OES,true,4,31-1131,Nursing Assistants,1388430,41270,19.85,semi_structured_human,medium_high,medium,true,true,~at_parity,2034-2040,demand_growth_offsets,reliability_AND_demand,"Confirmed 1,388,430 jobs. Aging-population demand growth (+17% projected, similar to home aides). Replacement scenario gated by interpersonal trust + safety regulation. Net effect: robots SUPPLEMENT rather than replace."
LEG3_BLS_OES,true,4,31-1121,Home Health Aides + Personal Care Aides,4300000,34900,16.80,unstructured_human,high,high,true,true,~at_parity,2035-2040,demand_growth_dominates,reliability_AND_demand,"Confirmed 4.3M jobs (combined). Largest US occupation per BLS. +17% growth 2024-34 = +730K jobs added. Demographic-driven demand exceeds substitution rate through 2035+."
LEG3_BLS_OES,false,5,11-1021,General and Operations Managers,3500000,101280,48.70,knowledge_work,N/A,N/A,N/A,N/A,N/A,augmentation,augmentation_not_replacement,knowledge_AI,"~3.5M jobs estimated. AI is productivity multiplier here; reduces headcount per unit output rather than substituting headcount-for-headcount."
LEG3_BLS_OES,false,5,15-1252,Software Developers,1700000,131450,63.20,knowledge_work,N/A,N/A,N/A,N/A,N/A,augmentation,augmentation_or_partial_displacement,knowledge_AI,"~1.7M jobs estimated. METR autonomy curve points to direct partial-displacement risk by 2028-2030 for routine coding tasks. Senior + judgment-heavy work persists longer."
