source_id,verified,year,quarter,metric,value,unit,notes
LEG4_BLS_LABOR_SHARE,true,2000,Q4,labor_share_nonfarm_business,62.8,percent,"Confirmed value per BLS retrospective. Pre-decline baseline."
LEG4_BLS_LABOR_SHARE,false,2005,Q4,labor_share_nonfarm_business,60.0,percent,"Estimated mid-point in declining trajectory. Verify against FRED PRS85006173 at chart-production time."
LEG4_BLS_LABOR_SHARE,false,2010,Q4,labor_share_nonfarm_business,57.0,percent,"Estimated. Trajectory descending toward 2011 low. Verify against FRED."
LEG4_BLS_LABOR_SHARE,true,2011,Q4,labor_share_nonfarm_business,56.0,percent,"Confirmed historical low per BLS retrospective."
LEG4_BLS_LABOR_SHARE,false,2015,Q4,labor_share_nonfarm_business,58.0,percent,"Estimated. Partial recovery underway. Verify against FRED."
LEG4_BLS_LABOR_SHARE,true,2016,Q3,labor_share_nonfarm_business,58.4,percent,"Confirmed value per BLS retrospective."
LEG4_BLS_LABOR_SHARE,false,2020,Q4,labor_share_nonfarm_business,58.5,percent,"Estimated, possible COVID-era bump due to denominator effects. Verify against FRED."
LEG4_BLS_LABOR_SHARE,true,2024,Q4,labor_share_nonfarm_business,58.3,percent,"Confirmed recent value per BLS retrospective."
LEG4_SP500_TR,false,2000,Q4,sp500_total_return_indexed_to_2000_=_100,100,index,"Anchor point. End-of-year 2000."
LEG4_SP500_TR,false,2005,Q4,sp500_total_return_indexed_to_2000_=_100,103,index,"Post dot-com recovery. Approximate; verify against ^SP500TR at chart-production time."
LEG4_SP500_TR,false,2010,Q4,sp500_total_return_indexed_to_2000_=_100,115,index,"Post-GFC recovery. Approximate."
LEG4_SP500_TR,false,2015,Q4,sp500_total_return_indexed_to_2000_=_100,230,index,"Approximate."
LEG4_SP500_TR,false,2020,Q4,sp500_total_return_indexed_to_2000_=_100,410,index,"Approximate. COVID-era rally."
LEG4_SP500_TR,false,2024,Q4,sp500_total_return_indexed_to_2000_=_100,830,index,"Approximate. ~8.3x cumulative total return 2000-2024 reflects ~8-9% CAGR. Verify against ^SP500TR closing values at chart-production."
